罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,松山東,一番町交番,382019,愛媛県,松山市,一番町１丁目,2019-12-08,16,道路上,その他
窃盗,部品ねらい,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-02-12,14,駐車（輪）場,その他
窃盗,部品ねらい,松山東,一番町交番,382019,愛媛県,松山市,二番町１丁目,2019-09-24,19,道路上,ナンバープレート
窃盗,部品ねらい,松山東,一番町交番,382019,愛媛県,松山市,二番町４丁目,2019-05-16,09,駐車（輪）場,その他
窃盗,部品ねらい,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-09-21,19,駐車（輪）場,その他
窃盗,部品ねらい,松山東,大街道交番,382019,愛媛県,松山市,勝山町１丁目,2019-08-20,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山東,大街道交番,382019,愛媛県,松山市,三番町１丁目,2019-01-06,19,道路上,その他
窃盗,部品ねらい,松山東,大街道交番,382019,愛媛県,松山市,三番町３丁目,2019-02-16,09,駐車（輪）場,その他
窃盗,部品ねらい,松山東,市駅前交番,382019,愛媛県,松山市,小栗３丁目,2019-08-30,09,駐車（輪）場,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,生石町,2019-04-17,20,４階建て以上共同住宅,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸２丁目,2019-01-26,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸３丁目,2019-04-01,14,その他,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸３丁目,2019-04-22,18,駐車（輪）場,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-02-04,08,その他,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,宮西１丁目,2019-05-23,21,４階建て以上共同住宅,その他
窃盗,部品ねらい,松山東,松山駅前交番,382019,愛媛県,松山市,余戸西６丁目,2019-07-18,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山東,城北交番,382019,愛媛県,松山市,文京町,2019-11-20,10,駐車（輪）場,その他
窃盗,部品ねらい,松山東,城北交番,382019,愛媛県,松山市,松前町４丁目,2019-11-24,20,駐車（輪）場,その他
窃盗,部品ねらい,松山東,道後交番,382019,愛媛県,松山市,道後今市,2019-08-05,16,駐車（輪）場,その他
窃盗,部品ねらい,松山東,道後交番,382019,愛媛県,松山市,道後姫塚,2019-07-24,18,道路上,その他
窃盗,部品ねらい,松山東,素鵞交番,382019,愛媛県,松山市,桑原５丁目,2019-01-20,20,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,松山東,素鵞交番,382019,愛媛県,松山市,東野５丁目,2019-10-21,12,駐車（輪）場,その他
窃盗,部品ねらい,松山東,素鵞交番,382019,愛媛県,松山市,松末１丁目,2019-04-23,20,駐車（輪）場,その他
窃盗,部品ねらい,松山東,御幸交番,382019,愛媛県,松山市,姫原３丁目,2019-07-15,00,駐車（輪）場,その他
窃盗,部品ねらい,松山東,御幸交番,382019,愛媛県,松山市,山越町,2019-06-08,21,駐車（輪）場,その他
窃盗,部品ねらい,松山西,みつ交番,382019,愛媛県,松山市,三津１丁目,2018-12-01,不明,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山西,高浜交番,382019,愛媛県,松山市,高浜町４丁目,2019-08-29,21,その他,その他
窃盗,部品ねらい,松山西,吉田浜交番,382019,愛媛県,松山市,富久町,2019-05-16,23,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,松山西,吉田浜交番,382019,愛媛県,松山市,南吉田町,2019-04-08,06,駐車（輪）場,その他
窃盗,部品ねらい,松山西,味生交番,382019,愛媛県,松山市,空港通３丁目,2019-03-22,16,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,松山西,味生交番,382019,愛媛県,松山市,空港通６丁目,2019-09-15,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山西,堀江駐在所,382019,愛媛県,松山市,堀江町,2019-08-03,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山西,北条交番,382019,愛媛県,松山市,北条辻,2019-11-23,16,駐車（輪）場,その他
窃盗,部品ねらい,松山西,粟井駐在所,382019,愛媛県,松山市,磯河内,2019-11-28,17,その他,その他
窃盗,部品ねらい,松山西,中島駐在所,382019,愛媛県,松山市,中島大浦,2019-05-19,13,駐車（輪）場,その他
窃盗,部品ねらい,伊予,駅前交番,382108,愛媛県,伊予市,米湊,2019-08-18,08,駐車（輪）場,その他
窃盗,部品ねらい,伊予,駅前交番,382108,愛媛県,伊予市,下吾川,2019-10-25,17,駐車（輪）場,その他
窃盗,部品ねらい,伊予,駅前交番,382108,愛媛県,伊予市,灘町,2019-02-01,不明,駐車（輪）場,その他
窃盗,部品ねらい,伊予,中村駐在所,382108,愛媛県,伊予市,三秋,2019-05-31,17,その他,その他
窃盗,部品ねらい,伊予,松前交番,384011,愛媛県,松前町,,2019-04-26,00,その他,ナンバープレート
窃盗,部品ねらい,伊予,松前交番,384011,愛媛県,松前町,大字西古泉,2019-05-20,20,その他,その他
窃盗,部品ねらい,大洲,中央交番,382078,愛媛県,大洲市,田口,2019-03-30,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,八幡浜,保内交番,382043,愛媛県,八幡浜市,保内町宮内,2019-02-20,17,駐車（輪）場,その他
窃盗,部品ねらい,八幡浜,磯津駐在所,382043,愛媛県,八幡浜市,保内町磯崎,2019-01-01,不明,道路上,その他
窃盗,部品ねらい,宇和島,城南交番,382035,愛媛県,宇和島市,坂下津,2019-04-01,不明,その他,その他
窃盗,部品ねらい,宇和島,三浦駐在所,382035,愛媛県,宇和島市,三浦東,2019-11-01,不明,その他,その他
窃盗,部品ねらい,宇和島,来駐在所,382035,愛媛県,宇和島市,川内,2019-08-22,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,宇和島,吉田交番,382035,愛媛県,宇和島市,高串,2019-08-02,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,宇和島,吉田交番,382035,愛媛県,宇和島市,吉田町浅川,2019-02-05,18,駐車（輪）場,その他
窃盗,部品ねらい,愛南,愛南警察署所在地,385069,愛媛県,愛南町,御荘平城,2019-08-21,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山南,石井交番,382019,愛媛県,松山市,西石井３丁目,2019-11-02,15,駐車（輪）場,その他
窃盗,部品ねらい,松山南,石井交番,382019,愛媛県,松山市,今在家１丁目,2019-02-28,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山南,石井交番,382019,愛媛県,松山市,居相２丁目,2019-02-15,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山南,石井交番,382019,愛媛県,松山市,北井門２丁目,2019-10-01,16,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,松山南,久米交番,382019,愛媛県,松山市,北久米町,2019-06-18,20,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,松山南,久米交番,382019,愛媛県,松山市,鷹子町,2019-02-15,07,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,松山南,久米交番,382019,愛媛県,松山市,鷹子町,2019-10-14,19,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,松山南,浮穴駐在所,382019,愛媛県,松山市,南高井町,2019-09-15,01,その他,その他
窃盗,部品ねらい,松山南,重信交番,382159,愛媛県,東温市,野田３丁目,2019-09-29,15,その他,その他
窃盗,部品ねらい,松山南,砥部交番,384020,愛媛県,砥部町,重光,2019-03-17,17,駐車（輪）場,その他
窃盗,部品ねらい,松山南,砥部交番,384020,愛媛県,砥部町,玉谷,2019-12-25,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,松山南,広田駐在所,384020,愛媛県,砥部町,総津,2019-10-18,18,その他,タイヤ・ホイール
窃盗,部品ねらい,松山南,朝生田交番,382019,愛媛県,松山市,朝生田町２丁目,2019-08-23,13,道路上,その他
窃盗,部品ねらい,松山南,朝生田交番,382019,愛媛県,松山市,朝生田町７丁目,2019-12-08,20,４階建て以上共同住宅,その他
窃盗,部品ねらい,松山南,朝生田交番,382019,愛媛県,松山市,市坪北１丁目,2019-11-30,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,松山南,朝生田交番,382019,愛媛県,松山市,市坪北２丁目,2019-11-17,21,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,松山南,朝生田交番,382019,愛媛県,松山市,和泉南５丁目,2019-02-19,18,駐車（輪）場,なし
