罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,大洲,小田駐在所,384224,愛媛県,内子町,大平,2019-02-23,17,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,八幡浜,保内交番,382043,愛媛県,八幡浜市,,2019-04-27,18,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,宇和島,城南交番,382035,愛媛県,宇和島市,坂下津,2019-10-14,15,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,宇和島,吉田交番,382035,愛媛県,宇和島市,吉田町立間,2019-11-29,18,道路上,キーあり,なし,貨物自動車
窃盗,自動車盗,宇和島,三間駐在所,382035,愛媛県,宇和島市,三間町宮野下,2019-08-01,22,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,松山南,久米交番,382019,愛媛県,松山市,福音寺町,2019-09-07,19,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,松山南,川内交番,382159,愛媛県,東温市,樋口,2019-07-03,18,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,西条,三本松交番,382060,愛媛県,西条市,大町,2019-09-23,12,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,西条西,中川駐在所,382060,愛媛県,西条市,丹原町関屋,2019-01-18,15,駐車（輪）場,キーなし,なし,特殊自動車
窃盗,自動車盗,松山東,道後交番,382019,愛媛県,松山市,南町２丁目,2019-12-06,01,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,松山西,味生交番,382019,愛媛県,松山市,堀江町,2019-02-11,10,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,宇和島,鬼北交番,384887,愛媛県,鬼北町,大字吉波,2018-04-01,00,その他,キーなし,なし,特殊自動車
窃盗,自動車盗,松山南,久谷駐在所,382019,愛媛県,松山市,中野町,2019-10-21,21,駐車（輪）場,キーなし,あり,乗用自動車
