罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,今治,水上交番,382027,愛媛県,今治市,南宝来町１丁目,2019-09-26,23,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,今治,駅前交番,382027,愛媛県,今治市,常盤町５丁目,2019-08-22,19,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,今治,駅前交番,382027,愛媛県,今治市,別宮町１丁目,2019-05-23,12,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,今治,駅前交番,382027,愛媛県,今治市,別宮町７丁目,2019-08-08,17,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,今治,旭町交番,382027,愛媛県,今治市,北鳥生町１丁目,2019-02-14,17,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,今治,旭町交番,382027,愛媛県,今治市,郷本町２丁目,2019-07-24,17,一戸建住宅,70歳以上,その他,施錠した
窃盗,自転車盗,今治,旭町交番,382027,愛媛県,今治市,南高下町３丁目,2019-01-18,19,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,今治,旭町交番,382027,愛媛県,今治市,南高下町３丁目,2019-08-15,10,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,今治,乃万駐在所,382027,愛媛県,今治市,阿方,2019-07-22,17,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,今治,富田駐在所,382027,愛媛県,今治市,喜田村２丁目,2019-04-03,22,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,今治,富田駐在所,382027,愛媛県,今治市,郷新屋敷町２丁目,2019-02-01,16,その他,40歳代,その他,施錠した
窃盗,自転車盗,今治,富田駐在所,382027,愛媛県,今治市,東村１丁目,2019-06-22,14,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,,2019-11-03,21,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,一番町１丁目,2019-12-09,18,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,一番町３丁目,2019-01-26,03,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2018-10-28,21,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-03-29,18,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-04-07,16,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-08-07,21,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-08-29,22,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-09-24,16,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-11-07,14,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-11-09,18,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-12-01,18,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道２丁目,2019-12-26,19,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道３丁目,2019-05-29,20,その他,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道３丁目,2019-09-07,19,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,大街道３丁目,2019-10-18,14,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,喜与町１丁目,2019-11-18,12,その他,30歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,清水町１丁目,2019-05-26,00,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,千舟町４丁目,2019-08-08,12,道路上,10歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,道後樋又,2019-09-05,20,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町１丁目,2019-12-28,21,その他,50歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-04-20,18,道路上,50歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-07-17,17,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-10-25,23,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-11-15,18,道路上,50歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-12-03,15,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-12-07,20,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-02-16,12,その他,30歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-03-16,19,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-04-06,21,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-04-13,23,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-06-29,22,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-07-27,05,道路上,40歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-09-04,20,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,文京町,2019-06-17,12,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,堀之内,2019-09-02,09,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2018-12-24,12,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2019-01-10,21,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2019-03-16,08,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2019-04-01,21,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2019-04-03,16,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町１丁目,2019-05-15,不明,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,緑町２丁目,2019-05-29,00,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,南持田町,2019-04-17,00,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,一番町交番,382019,愛媛県,松山市,南持田町,2019-08-01,13,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-01-11,20,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-02-07,23,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-02-14,13,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-05-22,02,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-10-20,21,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道２丁目,2019-02-26,23,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道２丁目,2019-08-13,23,その他,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道２丁目,2019-11-30,19,道路上,40歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,大街道３丁目,2019-04-19,19,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,河原町,2019-04-05,17,その他,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,河原町,2019-10-28,13,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町２丁目,2019-01-04,17,道路上,50歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町２丁目,2019-02-04,23,その他,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町２丁目,2019-03-08,14,道路上,10歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町２丁目,2019-09-08,19,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町２丁目,2019-12-19,02,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,三番町３丁目,2019-08-11,21,その他,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,立花１丁目,2019-11-20,18,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,立花１丁目,2019-12-10,06,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,立花２丁目,2019-04-01,12,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,立花２丁目,2019-06-19,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,千舟町２丁目,2019-01-22,22,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,千舟町２丁目,2019-07-20,16,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,道後樋又,2019-09-28,17,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,中村２丁目,2019-03-22,18,４階建て以上共同住宅,10歳代,小学生,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,中村５丁目,2019-01-08,20,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,中村５丁目,2019-09-17,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,永木町１丁目,2019-02-28,02,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,二番町３丁目,2019-09-26,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,御宝町,2019-10-28,10,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,湊町３丁目,2019-04-03,15,道路上,50歳代,その他,施錠した
窃盗,自転車盗,松山東,大街道交番,382019,愛媛県,松山市,柳井町２丁目,2019-04-28,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北１丁目,2019-08-15,不明,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北１丁目,2019-09-07,00,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北１丁目,2019-12-11,19,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北２丁目,2019-03-12,12,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北２丁目,2019-12-01,08,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北３丁目,2019-11-04,21,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,永代町,2019-02-14,18,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,永代町,2019-04-01,06,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,小栗３丁目,2019-04-08,18,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,小栗３丁目,2019-07-27,22,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,小栗７丁目,2019-09-21,21,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,春日町,2019-06-26,22,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,祇園町,2019-02-18,13,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,三番町４丁目,2019-01-14,15,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,三番町４丁目,2019-04-07,01,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,三番町４丁目,2019-05-21,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,千舟町４丁目,2019-07-27,12,道路上,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,二番町１丁目,2019-01-23,20,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,藤原２丁目,2019-07-19,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,平和通２丁目,2019-09-25,20,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町４丁目,2019-07-04,18,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町４丁目,2019-07-22,19,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-01-08,07,その他,10歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-01-29,07,道路上,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-04-03,07,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-04-29,13,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-07-22,12,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町５丁目,2019-08-12,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町６丁目,2019-01-25,09,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町６丁目,2019-04-26,16,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町６丁目,2019-05-27,11,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,湊町６丁目,2019-09-14,06,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,柳井町２丁目,2019-03-05,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,雄郡１丁目,2019-06-08,23,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,市駅前交番,382019,愛媛県,松山市,雄郡１丁目,2019-08-27,21,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大街道２丁目,2019-08-05,22,その他,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町１丁目,2019-01-06,22,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-02-01,不明,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-03-21,20,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-07-09,15,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-07-15,13,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-07-20,22,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-08-01,13,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-08-03,10,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-09-08,19,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-09-26,11,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-10-06,08,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,大手町２丁目,2019-10-07,07,その他,50歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,衣山２丁目,2019-12-13,13,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町７丁目,2019-08-02,20,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町７丁目,2019-08-30,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,中央１丁目,2019-08-12,14,その他,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,中央２丁目,2019-01-12,00,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,美沢２丁目,2019-01-16,18,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸１丁目,2019-04-29,19,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸３丁目,2019-01-20,12,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸５丁目,2019-03-02,17,その他の住宅（３階建て以下共同住宅等）,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸６丁目,2019-09-23,20,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2018-12-23,15,その他,30歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-03-21,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-03-30,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-04-19,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-06-11,20,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-06-20,22,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-07-22,17,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-08-20,13,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-10-16,20,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮田町,2019-11-06,18,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮西１丁目,2019-02-14,08,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮西１丁目,2019-06-02,13,駐車（輪）場,50歳代,その他,施錠した
